,"National Assessment and Accreditation Council, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colleges accredited by NAAC having valid accreditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr. No.,Name of the College,State,CGPA,Grade,Accreditation valid up to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"MAHATMA GANDHI GOVERNMENT COLLEGE, MAHATMA GANDHI GOVERNMENT COLLEGE
 RAMPUR,MAYABUNDER,Andaman and Nicobar,744204 (First Cycle)",Andaman and Nicobar Islands,1.88,C,22-02-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Jawaharlal Nehru Rajkeeya Mahavidyalaya, Port Blair – 744104 (First Cycle)",Andaman and Nicobar Islands,3.01,A,04-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Dr. B. R. Ambedkar Institute of Technology (First Cycle),Andaman and Nicobar Islands,2.61,B+,02-07-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Aditya College of Engineering and Technology Kakinada – 533437 (First Cycle) ,Andhra Pradesh,2.68,B,10-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"Aditya Engineering College  Dist. East Godavari, 533437 (First Cycle)",Andhra Pradesh,3.11,A,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Amrita Sai Institute of Science and Technology Krishna District – 521180 (First Cycle) ,Andhra Pradesh,3.02,A,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Andhra Lutheran College of Education Guntur – 522002 (First Cycle) ,Andhra Pradesh,1.69,C,18-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Annamacharya Institute of Technology and Sciences, Tirupati – 517520 (First Cycle)  ",Andhra Pradesh,2.66,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"Baba Institute of Technology and Sciences, Visakhapatnam – 530048 (First Cycle) ",Andhra Pradesh,2.04,B,24-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"Bapatla College of Arts & Sciences,Dist. Guntur, 522101 (Second Cycle) ",Andhra Pradesh,3.02,A,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,"Bonam Venkata Chalamayya Institute of Technology & Science, Dist. East Godavari, 533201 (First Cycle) ",Andhra Pradesh,2.14,B,30-04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,"Chirala Engineering College, Chirala – 523157 (First Cycle)",Andhra Pradesh,2.08,B,13-09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,"Dadi Institute of Engineering and Technology,  Anakapalle, Visakhapatnam – 531002 (First Cycle)",Andhra Pradesh,2.53,B+,11-09-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,Dr. Lankapalli Bullayya College Visakhapatnam – 530013 (Second Cycle) ,Andhra Pradesh,3.05,A,28-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
